id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,
48875,,,,,,,satisfaction and concern,This works great for me; but it has demonstrated another issue when some Tapestry's script files try to use the clientId in order to create javascript identifiers for variables. I'll open a new issue describing this.,,,,,,,,,,,,,,,
14387,,,,x,,,concern and a litle anger,we're moving away from dojo integration in struts2; so you won't likely get much traction on this issue. If you want/need this resolved; then reopen; but provide a patch that we can apply. The core devs aren't going to allocate time to the dojo plugin at this point.,,,,,,,,,,,,,,,
74491,,,,,,,satisfaction,Chain 1.2 is now available in the m2 repo. Updated patches to include logging 1.1.1 and scxml 0.8,,,,,,,,,,,,,,,
64300,,x,,,,,joy in agreement,closing.,Thanks Thorsten; I've been meaning to write a step-by-step guide on how to get up and running with your own data.,done: http://wiki.apache.org/solr/mySolr @Antonio; thx for the feedback; I added your comment into the wiki page.,Perhaps this should be a Wiki page to make it easier to change / collaborate?,Wow! you must be reading my mind I can contribute with questions As a newbie non-java user from an enterprise prospective! I am your idea target Having said that I like to know about the following: 1. The schema.xml and solrconfig.xml are in parts very well explained. But in some areas like as an example .. <indexDefaults> and other places there are no explanation. It would be nice to get more info there. Specifically for example if increase <mergeFactor> to 1000 what will happen? what are the highest value for each properties? what is for example a 'safe value'. 2. It would be nice to create a deployment scenarios i.e a single server install with XXX CPU and YYY memory just running Solr with AAA thousand docs how should your config look like and why? and you can get about xxx Query/Sec or something.. 3. It would be nice to have a multi server deployment with some server spec and then how should the deployment be. 4. It would also be nice to have more info regarding stopwords synonoms etc. usage and facet etc.. I know that all of the above are case by case cos configuration by default means case by case. But what I want to propose is a 'Guidelines or Best Practice' based on your production implementation/deployment you have done with Cocoon. It would be nice to have some real world stories. I think you should do like the subversion book! - A Solr open source book!,Initial version,,,,,,,,,,
76425,,,,,,,satisfaction,This was done long ago and is now in trunk and ready for release,,,,,,,,,,,,,,,
37251,,,,,,,satisfaction,This issue is already comitted,,,,,,,,,,,,,,,
34559,,,,,,,"neutral, does not specify explicitly any emotion",Lazy session associated has been implemented in the TuscanyValve The spec people are still discussing Scope so I am going to close this and we can open a new issue when the spec clearly defines how scopes operate.,,,,,,,,,,,,,,,
32383,,,,,,,concern,Closing because this has been in RESOLVED state for over one year; if it turns out to not be fixed please reopen.,,,,,,,,,,,,,,,
10446,,,,,,,"neutral, does not specify explicitly any emotion",This bug has been fixed in Xalan Java 2.5.2. Please verify.,Applied patch to CVS.,If the type of tge second argument is not node-set; throw run time error.,Created an attachment (id=6012) Patch for FuncDocument,,,,,,,,,,,,
59257,,,,,,,gratitude,Patch is in. Thanks.,,,,,,,,,,,,,,,
79211,,,,,,,gratitude,Thanks Marijan; will do!,,,,,,,,,,,,,,,
34239,,,,,,,satisfaction,Fixed in revision 406707.,,,,,,,,,,,,,,,
10696,,,,x,,,little anger,Closing this issue. Please re-open if you have a testcase.,Resolving as incomplete. We have no testcase.,I'm not sure that you are still interested in this old issue; but we would need a testcase to proceed. Please provide one or we will be closing this issued down.,,,,,,,,,,,,,
9989,,,,,,,concern,Xalan-Java appears to be operating correctly.,version='' does not specify a valid nmtoken; so the error message is valid. If we had something like version='123.456' then we could default to '4.0' because version '123.456' is not supported. But this is not a valid nmtoken as is indicated in section 16 of the XSLT 1.0 recommendation.,Input XML,XSL stylesheet,,,,,,,,,,,,
28865,,,,,,,"neutral, does not specify explicitly any emotion",Fixed a prompt that asks user to enter either 's' or 'q'.,,,,,,,,,,,,,,,
24867,,,,,,,"neutral, does not specify explicitly any emotion",Updated version of the patch. Removed the setter for the log storage provider in the stanza relay; and passed it either as constructor parameter of through provider registry as with other providers. If there is a need for a more generic stanza logger; these users could use the plain interface. The adapter I made is intended for filtering; so that only textual chat messages between users are let through; which I think is the most interesting detail to be logged. I updated the source file name and the comment to better indicate this.,,,,,,,,,,,,,,,
20927,,,x,,,,surprise,woops; thought this was already fixed...,,,,,,,,,,,,,,,
18707,,,,,,,joy in agreement,Ah; I can close it myself...,For the sake of completeness: I have also posted a stackoverflow question about this: http://stackoverflow.com/a/13088148/1006823 In the answer I have outlined how I finally solved the problem. I just had to extract the actual page mounting out of my WebApplication class; which seemed like a drawback first; but actually I am pretty happy that the mount stuff is separate now :) That said; feel free to close this ticket if you do not think the framework should support this. At anyone needing this; have a look at the link above - actually it is pretty simple once you know it :),I see no way to generate urls without the information from the request and application (servlet context).,I'm not sure how this is possible in Wicket 1.3/1.4. The ServletContext is needed and the filter path where WicketFilter listens to be able to calculate the relative urls. If you need full url (like http://host/...) then you can use a helper class that uses bi directional map (String -> Class<Page>). In Wicket code you just need to do somthing like: void Helper.mount(webApp) { åÊåÊfor (entry : map) { åÊåÊåÊåÊwebApp.mountPage(entry.key; entry.value) åÊåÊ} } In your non-Wicket code: åÊåÊprefix + map.getKey(pageClass) where prefix is the part that Wicket needs usually to calculate the urls: http://host/contextPath/filterPath.,,,,,,,,,,,,
485,,x,,,,,concern,+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12508207/ZOOKEEPER-1263.patch against trunk revision 1214571. +1 @author. The patch does not contain any @author tags. +1 tests included. The patch appears to include 6 new or modified tests. +1 javadoc. The javadoc tool did not generate any warning messages. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 findbugs. The patch does not introduce any new Findbugs (version 1.3.9) warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. +1 core tests. The patch passed core unit tests. +1 contrib tests. The patch passed contrib unit tests. Test results: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/844//testReport/ Findbugs warnings: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/844//artifact/trunk/build/test/findbugs/newPatchFindbugsWarnings.html Console output: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/844//console This message is automatically generated.,Hi Pat; Thanks for the review and comments. I have attached latest patch with test cases. In the patch I couldn't completely remove the conditional logic from ZooKeeperServer. I have seen the testcases are directly instantiating the 'ZooKeeperServer' and starting the server. In this case the execution flow is not going through the ServerConfig/QuorumPeerConfig and will not be applying the defaulting logic[the timeout values will remain as -1]. So I retain the logic inside ZooKeeperServer.,Rakesh - in order to simplify the patch file conflict management I rolled these two issues into one patch. Note however - you have not updated the code in ServerConfig; so there is still an issue for the standalone case. Please update the patch and add test(s) for this. thanks.,This is the merged patch from ZOOKEEPER-1213 and ZOOKEEPER-1227; no other changes.,,,,,,,,,,,,
4169,,,,,,,"neutral, does not specify explicitly any emotion",I'd be okay with an enhancement which defaults to a SAX2-compliant parser when available; but this isn't always the case. MinML is a good fallback for those situations (e.g. applets).,,,,,,,,,,,,,,,
70682,,,,,,,satisfaction,Close after release,,,,,,,,,,,,,,,
12310,,X,,,,,,Very cool. Thank you.,,,,,,,,,,,,,,,
77424,,,,,,,satisfaction,The macro is also deprecated now; it is advised to use åÊåÊåÊåÊåÊåÊåÊåÊ#showRSSAutodiscoveryLink(),,,,,,,,,,,,,,,
60965,,,,,,,concern,Hoss; any interest in bring this patch forward to trunk?,Unassigned issues -> 4.1,It would be great to have this work in some form; even if it does not have the same API as before.,rmuir20120906-bulk-40-change,Hello - Could the deleteByQuery issue you mention be fixed with SOLR-3473? I've attached an updated patch for today's trunk. The previous patch was missing the signature field but i added it to one schema. Now other tests seem to fail because they don't see the sig field but do use the update chain. Anyway; it seems the BasicDistributedZkTest passes but i'm not very sure; there's too much log output but it doesn't fail.,bulk fixing the version info for 4.0-ALPHA and 4.0 all affected issues have 'hoss20120711-bulk-40-change' in comment,Updated patch to include my (meager) attempt at fixing the problem by making processAdd immediately execute a deleteByQuery if the add includes an updateTerm. I banged my head against a bunch of version mismatch errors to get into the current state of the patch; such that all the updates succeed; but the query assertions in the test still fail indicating that docs with duplicate signatures are making it into the index. On the up side: far fewer duplicates are making it into the index now then before the patch (when docs would only be deleted from the node that got the initial request if that node happened to be a shard leader)... wrong number of deduped docs (added 68 total) expected:<7> but was:<10> wrong number of deduped docs (added 71 total) expected:<7> but was:<8> wrong number of deduped docs (added 70 total) expected:<7> but was:<9> ...so apparently there is still some tiny corner case code path where dups are sneaking in (either that or the existing deleteByQuery code isn't reliable). I'm fairly certain i'm out of my depth at this point.,test demonstrating problem. where SignatureUpdateProcessorFactory lives in the chain doesn't affect the outcome.,i'm not entirely sure i'm understanding the problems. here's what i think i understand... 1) if you put dedup prior to distrib; then regardless of how it is configured it currently runs twice; which is bad - this seems like it is solved by SOLR-2822 2) if you want to use dedup to generate a sig for the uniqueKey field; then it really has to come before distrib; otherwise forwarding to the leader just wont work. (again: SOLR-2822 should make this do-able) 3) if you want to use dedup to generate a sig field that is not the uniqueKey field; AND you want to use 'overwriteDupes=true' then (currently) this needs to happen after distrib; because otherwise the info about the deletion _x0089_ÛÒ tracked in AddUpdateCommand.updateTerm - is lost when distrib does the forward. This seems like something that the distrib processor should deal with by ensuring it serializes/deserializes all of the key information in the AddUpdateCommand when sending/recieving a TOLEADER/FROMLEADER request (using SOLR-2822 vernacular) 3a) it's not enough to ensure that the 'updateTerm' is forwarded all the replicas in the shard; because other docs in other shards may have the same term value for the hash. (hence Markus's suggestions about doing a deleteByQuery _x0089_ÛÒ this should be in distribUP when AddUpdateCommand.updateTerm is non-null) 4) something about document cloning ... i still don't really understand this _x0089_ÛÒ not just in terms of dedup; but in generally i don't really understand why SOLR-3215 is an issue assuming we fix SOLR-2822.,To work around the problem of having the digest field as ID; could it not simply issue a deleteByQuery for the digest prior to adding it? Would that cause significant overhead for very large systems with many updates? Yeah; that might be an option - I don't know that it will be great perf wise; or race airtight wise; but it may a viable option. We would; from Nutch' point of view; certainly want to avoid changing the ID from URL to digest. Ah; interesting. If you are enforcing uniqueness by digest though; is this really a problem? It would only have to be in the Solr world that the id was the digest - and you could even call it something else and have an id:url field as well. Just thinking out loud. Or; perhaps we could make it so you could pick the hash field? Then hash on digest. If you are using overwrite=true; this should work right? Or perhaps someone else has some ideas...,That makes sense indeed. To work around the problem of having the digest field as ID; could it not simply issue a deleteByQuery for the digest prior to adding it? Would that cause significant overhead for very large systems with many updates? We would; from Nutch' point of view; certainly want to avoid changing the ID from URL to digest.,My next response on the ML: I take that back - I think that may be the only way to make this work well. We need that document clone; which will let you put the dedupe proc after the distrib proc. I think in general; the dedupe proc will only work if your signature field is the id field though - otherwise; hash sharding that happens on the id field is going to cause a problem.,,,,
68305,,,x,x,,,little anger,Updated the binding components' parent pom.xml http://svn.apache.org/viewvc?view=rev&revision=557983,Fixed for servicemix-ftp http://svn.apache.org/viewvc?view=rev&revision=557640 Fixed for servicemix-http http://svn.apache.org/viewvc?view=rev&revision=557757 Fixed for servicemix-jms http://svn.apache.org/viewvc?view=rev&revision=557769 Fixed for servicemix-truezip http://svn.apache.org/viewvc?view=rev&revision=557978 Fixed for servicemix-xmpp http://svn.apache.org/viewvc?view=rev&revision=557981,Fixed for servicemix-file: http://svn.apache.org/viewvc?view=rev&revision=557551,Fixed for servicemix-http! Thanks a lot to Gert Vanthienen! Author: tterm Date: Fri Apr 27 05:23:20 2007 New Revision: 533074 URL: http://svn.apache.org/viewvc?view=rev&rev=533074 Log: SM-932 Enable PMD/CheckStyle for binding components Added: incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/processors/AbstractProcessor.java Removed: incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/processors/Constants.java Modified: incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/BasicAuthCredentials.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/ContextManager.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/HttpBootstrap.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/HttpBridgeServlet.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/HttpComponent.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/HttpConfiguration.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/HttpConfigurationMBean.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/HttpEndpoint.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/HttpManagedServlet.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/HttpProcessor.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/HttpWsdl1Deployer.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/ManagedContextManager.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/ProxyParameters.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/SslParameters.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/endpoints/DefaultHttpConsumerMarshaler.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/endpoints/DefaultHttpProviderMarshaler.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/endpoints/HttpConsumerEndpoint.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/endpoints/HttpConsumerMarshaler.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/endpoints/HttpProviderEndpoint.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/endpoints/HttpProviderMarshaler.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/endpoints/HttpSoapConsumerEndpoint.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/endpoints/HttpSoapConsumerMarshaler.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/endpoints/SerializedMarshaler.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/jetty/JCLLogger.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/jetty/JaasJettyPrincipal.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/jetty/JaasUserRealm.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/jetty/JettyContextManager.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/jetty/ServiceMixSslSocketConnector.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/packaging/HttpServiceUnitAnalyzer.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/processors/CommonsHttpSSLSocketFactory.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/processors/ConsumerProcessor.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/processors/ProviderProcessor.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/tools/PortTypeDecorator.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/ConsumerEndpointTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/HttpAddressingTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/HttpConsumerTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/HttpManagedTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/HttpProviderTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/HttpSoapTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/HttpSpringTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/HttpTxTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/HttpURITest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/HttpWsdlTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/HttpXBeanDeployerTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/ServerManagerTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/WsdlRoundtripTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/endpoints/Person.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/endpoints/PersonImpl.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/endpoints/SerializedMarshalerTest.java incubator/servicemix/trunk/deployables/bindingcomponents/servicemix-http/src/test/java/org/apache/servicemix/http/security/HttpSecurityTest.java,Additional http patch file to provide the missing AbstractProcessor file,Gert; the http patch doesn't work. There is a class missing: AbstractProcessor. I guess you forgot to add this class to svn before you do the svn diff.,The last patch file (*-http) contains all necessary modifications for servicemix-http. It also contains the updated pom.xml for the binding components. Just a few remarks: I have used some J2SE 5.0 constructs (varargs; generics; ...) during the cleanup (e.g. to reduce the amount of code per method). If you still want to be 1.4-compliant; these have to be modified SslParameters contains a call to hash(String... strings). If I don't enclose the parameters to this call in a new String[] { }; PMD (incorrectly) complains about an unused private method,Patches for servicemix-truezip and servicemix-xmpp,SM-932-jms.patch fixes PDM/CheckStyle errors for servicemix-jms,SM-932-ftp.patch fixes PDM/CheckStyle errors for servicemix-ftp,SM-932-file.patch fixes PDM/CheckStyle errors for servicemix-ftp,,,,,
29161,,,,x,,,little anger,Already fixed in UIMA-1379.,I think the source files should be within the org.apache.uima.tika package and not in org.apache.uima.,,,,,,,,,,,,,,
31087,,,,,,,satisfaction,Patch applied. Thanks Florian.,,,,,,,,,,,,,,,
69716,,,,x,,,little anger,I really meant to remove this functionality: What is the use for it anyway ? It doesn't hurt today (except for a few bytes eaten) but it may be confusing. So; if there is no clear use and requirement for it; I suggest to just remove it.,,,,,,,,,,,,,,,
76643,,,,,,,satisfaction,Closed issues related to Roller 5.0 release.,,,,,,,,,,,,,,,
17394,,,x,x,,,joy and gratitude,Andreas; I can see the benefit; but I'm not entirely sure how to do it. Perhaps you could provide a patch? David,Catching the InterruptedIOException and breaking to loop is indeed the simplest solution to the problem. However; I would prefer that SimpleHttpServer#destroy directly closes the ServerSocket without trying ExecutorServide#shutdownNow. The reason is that this would work on all platforms in the same way and on JVMs of the first type it would avoid spending unnecessary time in ExecutorServide#awaitTermination. Actually on this type of platform; the test cases for the HTTP transport probably spend more time waiting than to execute the actual tests...,applied fix from David. Many thanks Andreas -- dims,That's a really good bug report... this problem's been annoying me for a VERY long time. I really can't believe it's this simple... simply catching the InterruptedIOException and calling break in the catch block. I tried that and it seemed to work on people.apache.org. Patch at [1]. Can someone else sanity check it and try it on other platforms/jvms? David [1] http://people.apache.org/~davidillsley/wscommons/wscommons402.patch,,,,,,,,,,,,
45250,,,,x,,,concern and little anger,Resolving as fixed. We can do better positioning of the comments once someone has a concrete use case for that.,You can associate comments with cells; but it isn't all that easy. The 'findCellComment' on HSSFCell shows how to do it; which is: For every TextObjectRecord; find the CommonObjectDataSubRecord of type OBJECT_TYPE_COMMENT that precedes it On that CommonObjectDataSubRecord; get the object ID Find a NoteRecord with a shape ID that matches the object ID just found The NoteRecord holds the row and column details Normally the ordering of records in the file is CommonObjectDataSubRecord; TextObjectRecord; NoteRecord; cells; so you'd need to grab things as they went passed so they're to hand by the time you get to the cells.,Thanks! Patch applied (with minor changes) in revision 788364. Would there be some way to associate the comments with the cell's they apply to? I'd like to see the comment of a cell outputted along with the cell value. I'm leaving this issue until this has been resolved.,Patch adds text extraction from text shapes (comments and other),,,,,,,,,,,,
41306,,,,,,,neutral,The above code is a part of a dataTable of course ...,,,,,,,,,,,,,,,
61104,,,,x,,,little anger,I hope someone can fix this; but I know that at this time it's not something I can tackle without generous hand-holding. If there are no takers soon; I'll go ahead and close the issue. This is part of an effort to close old issues that I have reported. Search tag: elyograg2013springclean,I just thought of a localparam syntax for this: {!cache=nowarm},I never actually answered your first question. Yes; I do want most entries in the filter cache to be usable for autowarming. Most users have relatively few boolean clauses in their filter queries. Employees are the common exception. We get a few hundred boolean clauses in ours. Plans are being discussed to greatly reduce that; but I'm not sure we'll ever get away from it entirely.,I would like to have our application code tag those nasty employee filters with something that makes them ineligible for autowarming; but still eligible for caching; which would keep them around until the next commit. I am pretty sure our code is capable of knowing that the user is a special user; typically admin or system. An update cycle runs once a minute for the index as a whole; but changes are tracked on a per-shard basis. Commits on each shard are only done if something on that particular shard actually changes. The large shards where this is a problem typically go several minutes between commits; and that might extend to an hour or more. I will talk to our developers about using the cache=false localparam for now; but I am hoping for the ability to use the cache for those nasty filters but not include them for warming. Having recently toyed with the cache code ( SOLR-2906); I know this may not be trivial.,Are there other auto-warming queries you want to have done? Because it almost sounds like you just want to turn off autowarming in the filter cache. Or if they're unlikely to be re-used anyway; would it work to set cache=false on the original fq?,I don't think I can implement this. My knowledge of Solr internals simply isn't strong enough.,,,,,,,,,,
70122,,,,,,,gratitude and satisfaction,applied patch (thanks) in r1055887,The patch enhances the tests to reproduce the problem and a simple bugfix.,,,,,,,,,,,,,,
20625,,,,,,,satisfaction,Integrated in Apache Wicket 1.4.x #200 (See [https://hudson.apache.org/hudson/job/Apache%20Wicket%201.4.x/200/]) åÊåÊåÊåÊ,Integrated in Apache Wicket 1.5.x #395 (See [https://hudson.apache.org/hudson/job/Apache%20Wicket%201.5.x/395/]) åÊåÊåÊåÊ,Wicket quickstart project with a JUnit that fails due to the described behaviour.,,,,,,,,,,,,,
21977,,,,,,,concern and little anger,How about my comment at the end? 'Also; I'm suspicious of the logic for handling parent markup containers in AutoLinkResolver. It uses 'if' instead of 'while.' What if the autolink was two levels up in the inheritance hierarchy? I think that it should walk the parent links until it finds a null; not just check the first one.',very same issue,WICKET-1634 is the same issue (including a patch); so this one can be closed; too,,,,,,,,,,,,,
27962,,,,,,,satisfaction,Code delivered to SVN.,,,,,,,,,,,,,,,
45835,,,,,,,satisfaction,Integrated in Thrift #407 (See https://builds.apache.org/job/Thrift/407/) THRIFT-1517 TTransport.ReadAll() should set exception type to EndOfFile Patch: Stefan Gmeiner (Revision 1291039) Result = SUCCESS roger : http://svn.apache.org/viewvc/?view=rev&rev=1291039 Files : /thrift/trunk/lib/csharp/src/Transport/TTransport.cs,,,,,,,,,,,,,,,
2463,,,,,,,satisfaction and gratitude,Added a couple small points I missed before; and fixed (I hope) some formatting. Thanks. If anyone notices any misuses of the document formatting please let me know. Thanks!,,,,,,,,,,,,,,,
22691,,,,x,,,concern and little anger,By the way; the javadoc for the minimum and maximum validators are still not updated (and incorrect). They need to be precise as to whether or not the endpoints are included. For example: * Gets a Double maximum validator for checking if an number is smaller than the given maximum Should read 'is at most' or 'smaller than or equal to'. Same with the other validators (including the range validators).,,,,,,,,,,,,,,,
36052,,,,,,,neutral,Moving these all to a 'Doc 3.x' release version.,r1085213.,,,,,,,,,,,,,,
73415,,,,,,,gratitude,Patch applied. Thanks,The binary images that are mentioned and used in the reviewed code. Both images are made by me and can be freely used in Shindig.,,,,,,,,,,,,,,
7380,,,,,,,concern,As a work around; I scan the XML document to locate the namespaces which are then compared against a look-up file to see which schemas to load in the grammar. The only reason this was done is because DOMEntityResolver did not trigger for all namespaces. I am using version 2.7 and the option to trigger on all namespaces would be useful.,,,,,,,,,,,,,,,
15893,,,,x,,,concern and little anger,You are only flushing the writer; donå«t you need to close it too? writer.flush(); writer.close();,Is there a reason the writer.flush() is not called if a JSPfactory is not used? You should always flush() and close() your streams and writers.,,,,,,,,,,,,,,
80924,,,,,,,gratitude and satisfaction,The changes looks good for me. Reviewed with no commentaries.,Patch applied. Alex; could you review the changes please?,,,,,,,,,,,,,,
18020,,,,,,,neutral,r563181 pom.xml,,,,,,,,,,,,,,,
5713,,,,,,,neutral,Venu committed your patch for Xerces 2.6.0. Please verify.,,,,,,,,,,,,,,,
31554,,,,,,,neutral,Dave has let me know that this has resoved the issue,Attempt at a fix in 1.x r777627 and 1.5 branch r777632,,,,,,,,,,,,,,
