Sentence,Label
guys... this is so stupid...,0
I lost the whole morning cause HBase's RegionServer was dying with no logs  no nothing... how Am I supposed to debug the issue if u do not even generate a core dump?,0
{quote}You are messing down deep below hbase in dfs.,0
And I think if we're going to do a sweep up of shit  we should just kill root.,0
idiot Yeah I was on that idiot-path for a good while but commons-lang is a hairball at least where this hashcode making and equals is concerned.,0
Pull it back in if you think different.,0
i suck.,0
Will still be stuck in the loop though if can't actually close regions.,0
Original edited patch was messed up... stupid sed!,0
Who made this stupid rule?,0
Sorry but this is just stupid.,0
But I will quit committing to Hama then because I'm not going to support ONLY a binary format.,0
This is not what I build a framework for.,0
Well damn.,0
Blooper after blooper - I hate SVN.,0
"This looks reasonable to me... sucks we have to special case handling of "" ""...",0
You may want to carefully examine your assumption about this.,0
Ok wow welcome to Linux hell...,0
If I get a chance I may even roll it into our dev environment but I am currently in the middle of mem leak hell.,0
Both equally bad.,0
Negative I am against fetch groups in principle.,0
This way lies metadata hell.,0
"Shit there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes"".",0
Damn...,0
Damn...,0
Damn !,0
The evil NPE strik back !!,0
Bloody hell !!!,0
Damn time has flown...,0
Damn it !,0
This was a very bad bug introduced by me being an idiot.,0
I have stupidly deleted the original test dir but judging from the suite's output files no output was created after 3 1/2 hours.,0
damn this was assigned to you since months.,0
Imo all this just doesn't make sense from a pure performance aspect.,0
Inserting timestamps automagically would be bad because it would limit a whole swath of use cases.,0
If they do then Suse's cpio works for old ascii but the -c switch is broken.,0
This is pretty embarassing!,0
When you install a node module globally it goes into /usr/local where you don't have permissions to move shit into unless you sudo.,0
That being said I'm not totally opposed to making the limit configurable.,0
My bad I screwed up the assertion -> RuntimeException transition.,0
Well that sucks.,0
No it's not off the table but it's moot unless we decide we want cqlsh in-tree at all.,0
Ok here is a patch that works. I was stupid enough not to see it...,0
It was a pretty stupid idea to use a static array of instances for QuorumOpMonitor.,0
All I'm trying to say is that it's pretty easy to end up in propagation failure hell here or change something else that blows things up for use cases that are not foreseen.,0
"Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS... 

Did you just tell me to go fuck myself?",0
+1 (damn intellij it's not like patch format hasn't been standard for years),0
Wow it's like Thrift is going out of their way to make life suck for us this month.,0
Here is quite bad.,0
"
The samples you gave are different.",0
"I just noticed your public tweet...

bq. ""wilhelmbierbaum True. Fuck the Avro C API.""
",0
if so can you see if you can git bisect this bad boy?,0
It seems some of the wrappers in ink_hrtime.h() might no longer be used either e.g. ink_gettimeofday() is never used so lets get rid of that shit.,0
Heh that's one hell of a bug 275 bytes exactly eh?,0
What a stupid name I chose for that object... )-:,0
I think it's time to just close this issue.,0
"I'm not entering bogus reports for the hell of it ;)

Matt",0
I am currently trying to get it into AJDT dev builds but my git push is timing out (damn thing!,0
Stupid Maven,0
Ok. Stupid user Error here.,0
Why the hell do they deliver Duration if they cannot instantiate it :-/,0
The defect  from hell 666 be scared..,0
This really sucks!,0
Why the hell is this not a bug?,0
What the hell are you waiting for ?,0
I suspect it has nothing to do with the file system connector or Infinispan connectors and is simply a (stupid) mistake in the federated join processor.,0
I'm an idiot.,0
It really sucks that there is now way currently to include transitive dependencies.,0
I'm an idiot... there's nothing wrong with the readme.txt.,0
Crap forgot to verify that this is inconsistant with MRI it's not.,0
Please close as this is just me being stupid.,0
Holy hell I think I found one problem with turning a bignum into anything else.,0
This sucks *so much*...,0
Damn I would close this out from the fix to JBSEAM-3742 except the quartz and seampay examples use a custom XML namespace and the XML schema validator is not happy with that.,0
*Damn* I forgot.,0
Also your username was stupidly named and confusing so I deleted it and created a new one more appropriate.,0
Damn it seemed it didn't work.,0
It sucks to lose the code readability but it seems like a reasonable price to pay.,0
I don't have to ensure that the classloader knows groovy classes *you* must do that.,0
And debugging is hell because the test environment needs to have the exact same loader setup.,0
who the hell starts using our jira for typing lessons ?!?,0
fuck u,0
Hell this is gonna take me a lot of work to raise.,0
That irritated the hell out of me too but I didn't realise it was configurable in the .launch file.,0
This sucks badly.,0
Why on earth does createLink() need a request?,0
Finally closing this bug from hell.,0
I sure as hell don't want to start attaching models for the sake of detaching them directly afterwards.,0
That sucks why isn't the escape mechanism working?,0
I am an idiot - this was a dupe of GUVNOR-84,0
Sun RI sucks why the hell is saveState() and restoreState() not called with with javax.faces.STATE_SAVING_METHOD = server???,0
Swear to god I'm not a total idiot.,0
I don't know how the hell my diff program decided to add seemingly random CR chars but I've removed them now.,0
durrrh that sucks.,0
Im stuck with IE6 unfortunately.,0
What the hell I'll give this a shot.,0
"{quote}
searcher.getAtomicReader().getSortedDocValues(uniqueKey);
{quote}

This is a performance killer.",0
As far as the query shit i have no idea if solrdispatchfilter or whatever could/should do Thread.currentThread().setName(x) or whatever (and maybe restore after),0
"BTW: This is one reason why I hate this autoboxing shit since Java 5. I would love to have a way to prevent it in code (forbidden checks should detect this somehow).
",0
Hmm that sucks.,0
tricky shit man! I think I found the issue!,0
"Oh man ... it's a fucking precendence problem.
",0
Ugh well that sucks.,0
I didn't know we needed to retain backwards config capability across 3.x to 4.x  :-(  That sucks and it'll make old code stick around longer.,0
bq. this is solr's fault by having a getter that does some heavy duty xml shit.,0
That sounds like some serious buck passing.,0
This whole thing is very distressing to me.,0
I think we all know it just sucks.,0
though I disagree with a signficant amount of statements you madeI don't think we would ever come to agreement anyway.,0
"
that's some freaky shit ...",0
I think you made mistakes in ivy.xml.,0
This is where it gets confusing.,0
If I can give you one advice on this one I'd say this: fuck Derby use H2 instead as the default embedded database.,0
What the hell?!,0
(Do nothing): Are you serious about that?,0
"Oleg please accept that my ""logical"" is different from your ""logical"".",0
So I'm fine with your logic but given that I don't understand it please don't get upset when I ask questions on how I have to use it.,0
This was my bad.,0
The rest are *totally* unrelated.,0
Oh fuck :-) Sorry. Not my day more beer needed!,0
"Sorry I guess I'm against ""never computing this shit""... because you guys think returning NaN is ok.
",0
 if you want to make these optimizations fix the APIs so its intuitive otherwise no way.,0
"who the fuck is asking for scores but not the max score and why does their insanely specialized use case justify all these booleans on a central lucene class.
",0
I don't care about code duplication here.,0
 We should not invoke the global synced fieldnumbers shit for every element only when the setting actually changes,0
I disagree... and I guess I'm willing to go to bat for this.,0
HOLY SHIT!,0
" I think the comments here are a bad sign... I sent us down an unfortunate slippery slope

we are a search engine library!

don't put shit in the index directory! or we will delete your shit. dead simple.",0
I wholeheartedly agree this API is confusing as hell.,0
Not only it's the first one in my life I'm seeing multiple ways of closing the same thing it also conceals programming errors.,0
Sucks to rush a commit when an issue is under discussion.,0
I'm against such heavy committing myself without some consensus to do so.,0
I'm confused.,0
> I hated that aspect of working for commercial companies.,0
My bad.,0
My bad.,0
Igor is an idiot and we *do* need gmake.,0
Shit I missed a cast.,0
But even if it wasn't it would be totally worthless where it is at.,0
This is clearly bad webserver behaviour.,0
Forget what I made(D8067).,0
PreCommit-HDFS-Build is stuck.,0
So it is stuck somewhere.,0
I don't want one-offs like this to become lost and forgotten.,0
But now that I think about it it may crap out when coming back to read even on a recovered file.,0
Matt... I'm an idiot I used the wrong patch. Sigh.,0
I'm however very interested in this feature as it is essential to me.,0
bq. this is solr's fault by having a getter that does some heavy duty xml shit.,0
"Holy complicated-as-shit-algorithm Batman!

The complexity of our implementation vs the complexity of what we're actually doing is starting to worry me here.",0
It also happens at the very startup after he has loaded only 3 sstables (hence DataTracker likely have 3 sstables not a shit load).,0
Shit my bad. The posted patch is from a completely wrong branch of my git repo - I had not realized I ran the test-patch against a branch not branch0.,0
 (In this particular case Hoss clearly intended to use the no-no word as an intensifier and not to stir shit.),0
Maybe only one of us should play lawyer and the other one play engineer.,0
 I used to be the latter but then I went to law school and got a degree in this shit. ,0
Then to make matters worse since the mid0990's I've been offering pro bono advice to non-profit foundations whose members insult me regularly and assume I'm an amateur.  ,0
Someone but I'm not sure who owes me a public apology here.  /Larry  ,0
"Shit there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes"".",0
that's bad Content-Type from gSOAP.,0
Pull it back in if you think different.,0
Hmm ... this is quite bad.,0
You are messing down deep below hbase in dfs.,0
Damn it sry lost the orientation.,0
Oh my stupid:),0
oh ...geez I'm an idiot.,0
jira - I wish you didn't suck so much.,0
Indeed that would be VERY bad design.,0
My bad.,0
(How bad is this?,0
I'm confused.,0
This is pretty trivial.,0
Of course it could...  :-)  DOH!,0
"Then you're pretty well screwed.
",0
Damn Chuck is scary.,0
This is bad.,0
Well that sucks.,0
Bad memory.,0
"The state stuck at ""Allocated state"" It is a dup of 3788.",0
This is a pretty awful bug.,0
Replaced patch with fix to catch more bad variables,0
Does this suck?,0
"Of course StrFieldSource is a private class

No it's not.",0
CSS is really confusing sometimes.,0
Django is a fullstack framework Click is not.,0
My bad.,0
Credit of course goes to Dick.,0
It seems really confusing.,0
+1 for this: my bad.,0
Hell or high water.,0
0 to jar hell.,0
That would suck.,0
If so a test that succeeds with errors is confusing as hell...,0
If the different segments are somewhat homogeneous then these stats should pretty much be very close anyway.,0
This is pretty trivial just adds three asserts to TestPath#testNormalize.,0
"I doubt that Squid is so
bad at it.",0
It's not too bad once CacheConfig is in.,0
Not too bad though since clearing out commitlog segments is easily done.,0
ah - my bad.,0
My bad had a typo in the subscription e-mail.,0
My bad.,0
Yep my bad.,0
Pull it back in if you think different.,0
Tabs are evil.,0
I looked at our distributed pom.xml and they're pretty obscure.,0
once per every bad disk).,0
"Hell UnaryFunction might even be faster than all of these calls in a row.
",0
This was very bad documented.,0
Damn.,0
Pull it back in if you think different.,0
Ie both at are bad.,0
durrrh that sucks.,0
My bad.,0
I'm an idiot.,0
Splitting an existing sub-shard gets stuck up.,0
This is bad.,0
Oopps bad move !,0
the recommendation in the wiki is bad.,0
My bad.,0
"I'm starting to think of ""DLL Hell.""",0
#NAME?,0
Fix bad patch,0
Logger on top of Log4J and its abstract base class for supporting other frameworks.,0
My bad.,0
Well either you query the database every damn time and your plugin/tool/code will be super slow.,0
Damn it.,0
Hudson seems to be stuck on this. ,0
My bad...,0
which is silly -- bad package encapsulation).,0
My bad.,0
Oops had a bad comparator in the TestCLI config.,0
My bad.,0
The food is very bad.,0
"<gmcdonald>  my bad
",0
My bad.,0
My bad.,0
Pull it back in if you think different.,0
Aaarrggh how stupid of mine  to have a System.out again!,0
"Hell UnaryFunction might even be faster than all of these calls in a row.
",0
I always get the same stupid error.,0
Damn maven!,0
I don't care if everything is pretty or not but we should at least support basic admin functionality in IE IMO (though I have not used it for years for just about anything).,0
I've looked at what can be done within the NSIS framework we use to build the Windows installer.,0
A feature with wrong functionality is as bad as if not worse than a bad performance.,0
Doh!,0
Doh.,0
"Sounds weird to me...
Could you package a (totally!)",0
Am I doing something stupid here?,0
"* Replaced TreeMap with an Array of final 'Segment' objects
** (now very slightly faster than trunk)
* Rebased for trunk
* Removed the patch renaming SSTableReaderTest to SegmentedFileTest

I didn't remove the builder pattern because the alternative seems pretty ugly (copying the segments array for every append).",0
"HADOOP-2949:
 - If tarball is specified HOD no longer validates for the pkgs directory in gridservice-hdfs or mapred sections as these are not going to be used anyway.",0
It must be lost somewhere.,0
Too bad we can't use position:fixed in IE6.,0
"I think the correct resolution is to ensure that the prefix stack mechanism 
gets reset each time the XMLReader is used.",0
This is always a really bad way to design software.,0
It may suck but at least *I* won't be the one bringing in a dumb dependency to a logging library.,0
How on earth is it buggy?,0
"I didn't do that because that seems bad in hive so I returned ""null"" from the operation.",0
This sucks.,0
"They don't vote they
whine that something (or everything) sucks.",0
Damn dyslexia!,0
Damn it !,0
Doing it at the hackathon you'd have a few fellas at your shoulder to give you pointers should you get stuck.,0
Ah that was my bad.,0
My bad.,0
it's my bad.,0
My bad!,0
Ah too bad.,0
Damn Chuck is scary.,0
Here is quite bad.,0
This name gets confusing with all of our prenamed *Worker* and *Master* classes.,0
* release of the framework.,0
I'm a pretty strong -0 on this.,0
Not pretty. ,0
That's pretty unlikely.,0
Pretty much everything that FSNamesystem (ie.,0
Kind of sucks.,0
Since this patch is so damn large already I won't be making anymore changes to this other than critical/blocker bug fixes.,0
But please don't say that my reasoning is bad - because it is not.,0
> We can't let fear of back-compat prevent us from making progress.,0
I really don't care.,0
I am planning to use this framework for some new RPCs I am adding.,0
Don't hate me just throwing this out there.,0
Weird.,0
This is weird.,0
Gav...(Hoping I'm not teaching you how to suck eggs :) ),0
For those of us who don't care about ivy in fact lose something - a easy to build hbase.,0
Where on earth are you anyway?,0
My bad.,0
My bad this is already done.,0
That is bad.,0
Filling diags.log is bad mojo since it's never rotated.,0
How bad is it?,0
My bad.,0
My bad.,0
Bad IE.,0
"Bad.
",0
Pull it back in if you think different.,0
Stupid user error :),0
Weird.,0
That's weird.,0
Actually I don't want to specify the encoding because I don't care how the data is transported to me.,0
"And boy hell broke loose ;)

So... the biggest issue I'm facing is indeed with Random sharing across threads.",0
I don't care what we do as long as we don't change the attributes in JSP significantly.,0
The Async API in http client 4.x really sucks.,0
"
Forget the patch for the moment.",0
I'll just put fix in under this issue.,0
Please forget last comment it is incorrect.,0
umm ... call me crazy but why are we making this public?,0
[~cmccabe]: oh hell no!,0
Damn...,0
I'd say to hell with windows minority :),0
Because we don't care for this in cases where we there is no node that is down.,0
The eclipse ui was completly stuck which was similiar to the other experinces.,0
My bad.,0
Juhani..my bad i was mistaken.,0
My Bad.,0
That's my bad.,0
Seeking back is pretty inefficient in DFS.,0
Doh!,0
Hudson is stuck.,0
Weird.,0
Weird.,0
That's weird.,0
If that would be the case this would be bad design.,0
This just seems really evil.,0
It may cause conflicts but if your intent is to break system security you probably don't care.,0
My bad uploaded the wrong patch.,0
"I just hate having no clue what a file is really depending on ;)
",0
"Ah damn I thought it was fixed :/

Guillaume ?",0
I abbreviated the heck out of my arguments and thinking but damn it thats what I think :),0
A stupid bug in a patch that is already applied.,0
In this case data would pretty much just silently be lost.,0
This whole thing is really pretty trivial.,0
An output connector should also have a say in what URLs it will accept.,0
"Turning off hints is basically intended as a ""oh shit something is broken with hints let's turn it off"" switch.",0
why on earth would it match anything you have not even touched the Apache install.,0
"> - FOUserAgent.getStream() is cool and very easy to use (now that it's properly
> documented).",1
"i kinda like the black acctually .. but that may largely be due to my prefering the ""fire"" solr logo over the futuristic magnifying glass (the red/orange contrasts nicely with the black/grey.

to my mind the ""Solr"" ""Sun"" connection has allways been really cool ... ",1
Awesome discussion.,1
Got it thanks for the explanation.,1
The patch looks good.,1
Cool cool - thanks stack!,1
Awesome! This tool is cool.,1
Thanks guys for saving mankind!,1
This looks safe also,1
I've just tested the shiro trunk with karaf-2.2 release and everything works fine :),1
Pretty sure this was fixed by the time we released JRuby 1.6.,1
Interesting I just replaced my src with the latest in the trunk and did a compleatly clean build and the problem seems to have gone away.,1
This is Awesome Stefan - thanks a million!,1
This is awesome - works in a one-liner. ,1
Awesome!,1
Nice I did not think about using the system tables.,1
"You're results are awesome Paul. Great work :)
Looking forward to see your new JSON parser in trunk whenever you think is ready.",1
Awesome you rock Drew!,1
Very cool.,1
Awesome speedup! Finally all this work shows great results!!,1
"Subbu:
Glad I was able to help.",1
I believe in relativity :-),1
Great! It's been good to be able to contribute and I hope to be able to more for this awesome project when I have the spare time.,1
Thanks Uwe!,1
Code looks cool.,1
Cool - good information to have.  Thanks Lance!,1
Hey very cool. ,1
Hi very cool!,1
 I like the elegant parser!  ,1
Thanks for fixing it so quickly!,1
Jonathan: over to you :),1
Cool looks good.,1
Cool. sounds good to me.,1
Hi Carlos This looks awesome! Lots of cool stuff.,1
"Waaaaay cool! I especially like the ""upload file"" option.",1
cool stuff! a good candidate to put on myfaces-commons-utils so the user can just add the resource handler on its webapp faces-config.,1
Thanks Daryn!,1
Thanks for the reviews..,1
Wow thanks Raghu that's awesome and will save me a ton of time. ,1
So very cool and so very committed-- thanks Matthias this is awesome.,1
Took me a few seconds to get it but then I realized how awesome it is.  ,1
I'm happy to use it as the standard logo (i.e. website etc.).,1
"http://svn.apache.org/viewvc?view=rev&revision=468444

Deepal
Thanks!",1
Awesome stuff Stephen! ,1
"Thanks Alexei the patch is fine.
",1
Awesome co-op. Thanks Robert & Mike for picking this up.,1
Cheers!,1
Thanks Galder:),1
Daryn the current patch looks good.,1
Sounds good.,1
This is awesome!,1
v2 Looks good to me.,1
Hey you're right that idea was probably not the best approach to the problem - 0.6 looks really nice looking forward to it :),1
Thanks for moving so quickly on this guys.,1
Thanks Sanjay!,1
"Cool thanks Daniel we're actually cool with either updating it to e9ff8c4928 or flipping the write bit and we'll push the delta ourselves - whatever's the fastest to get to writeable:)

Thanks
--tim",1
This is a great suggestion.,1
great thanks Joel.,1
Thanks for reporting solved!,1
it belongs to faces 1.2 :),1
"Ok cool this is just a matter of adding strings to the various [NotFound()|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L160] returns in files.cpp

There are a number of error cases in the [browse|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L204] and [read|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L204] endpoints I'd imagine one could change the javascript to generate bad requests which should be sufficient to test this :)",1
cool no worries.,1
"Cool feature!

Performance:
 - It looks like scripts are read from the resource loader and parsed again (eval) for every update request.",1
"Thanks Ram

That seems like a definite improvement.",1
Interesting that you decided not to detect the error based on finding two similarly-named operations.,1
It's OK.,1
"Hi Suran

The new catalogs_b.patch looks very good.",1
Nice feature lars!!,1
":)

I've renamed ComponentColorProperty to be ComponentColorElement and RelationshipAggregation to TwistieAggregation.",1
Looks like this is fixed :),1
Version 2.2.0RC3 is fine.,1
Sounds like a good idea.,1
Many thanks for your help.,1
Thank you!,1
I've tested them out and everything is fine.,1
Is that ok for this file (b/c I have no idea how to do the svn move now ... after I've made all the changes already) :),1
Thanks once again.,1
"bq. OK w/ the latest patch all tests pass for me! Great 
Awesome! :)",1
"Great! Awesome!

thanks
Dims",1
Great! Awesome work Nick and thanks for the clarification Bill. ,1
"Great work...this is awesome stuff.
",1
great. awesome job sergey!,1
Awesome - great stuff Maria.  Thanks!,1
Thanks for doing that Uma.,1
Wow!,1
Thanks Bryan!,1
Patch looks good to me.,1
Thanks Jeff!,1
It is good to have the test.,1
Thanks Owen!,1
Thanks!,1
Thanks Dhruba!,1
Patch applied with thanks!,1
Looks quite perfect after solving PDFBOX-490.,1
Thanks Ashish!,1
Many thanks Neeme.,1
Thanks for the help BJ!,1
thanks Tomas!,1
Thanks!,1
Applied patch with thanks to Scott.,1
Enjoy!,1
thanks to Ernst Fastl for adding this.,1
Thanks for the patch Mubarak.,1
Thanks Koji!,1
Long Life MyFacesssssssssss!,1
Looks good thanks Laura!,1
Thanks Ashish!,1
Thank you guys!,1
Thanks Ashutosh and Gunther for your help!,1
I really appreciate your comments and I really enjoy our discussions:),1
"Awesome work: this is a great first cut!
",1
Thanks to Edward and Brock for the reviews.,1
Looks good.,1
Thank you Ivan!,1
:D,1
"Thanks to both of you and to Deepesh for the initiative.
",1
Cool.,1
Sounds like a good idea. ,1
Cool that's all good news too! Thanks guys. One less on my radar.,1
cool man it looks good. we need a changes entry but from my side this looks good. we can tackle the todos on trunk,1
"Looks pretty cool. Fresh and minimalist. Love it :-)
Good work.",1
Cool will do!  Thanks for the review and good questions... and the whole idea! :),1
This looks good to me.,1
